Taxon,ITS,rps16
Ammi majus,MT513148,MT513181
Apium fernandezianum,GQ379286,MT513182
Canaria tortuosa,MT513149,MT513183
Deverra aphylla,AM408888,MT513184
Deverra scoparia,MT513152,MT513185
Deverra tortuosa,MT513153,KJ473918
Opopanax hispidus,EU169298,MT513186
Rutheopsis herbanica,MT513154,MT513187
Ammi huntii,GQ148788,
Ammi seubertianum,KJ486461,KJ473903
Ammi trifoliatum,KJ486462,KJ473904
Anethum graveolens,GQ148794,AF110542
Apium annuum,KJ473892,KJ473907
Apium australe,GQ379279,KJ473936
Apium chilense,GQ379284,
Apium commersonnii,GQ379285,KJ473938
Apium decumbens,GQ379296,KJ473911
Apium filiforme,GQ379299,
Apium graveolens,KJ473893,KJ473908
Apium insulare,GQ379289,KJ473909
Apium panul,GQ379292,KJ473910
Apium prostratum,GQ379298,
Apium sellowianum,GQ379301,KJ473939
Billburttia capensoides,FM986437,FM986441
Billburttia vaginoides,FM986440,
Conium maculatum,EU169251,AF110546
Deverra battandieri,KJ473878,KJ473940
Deverra burchellii,AM408887,AY838418
Deverra denudata,KJ473886,KJ473942
Deverra intermedia,KJ473874,KJ473943
Deverra juncea,KJ473885,KJ473915
Deverra triradiata,KJ473873,KJ473917
Foeniculum sanguineum,GQ162781,
Foeniculum vulgare,KJ473896,KJ473919
Modesciadium involucratum,KJ473868,KJ473929
Naufraga balearica,KJ473894,KJ473945
Petroselinum crispum,KJ473879,KJ473921
Pseudoridolfia fennanei,KJ473884,KJ473924
Ridolfia segetum,KJ473895,KJ473925
Schoenoselinum foeniculoides,KJ473869,KJ473905
Sclerosciadium nodiflorum,KJ473865,KJ473926
Stoibrax dichotomum,KJ473890,KJ473932
Stoibrax pomelianum,KJ473891,KJ473931